Incident ID,summary,label
INC000000979354,not able see slip issue high not able see slip error displaying resolve issue technical exceptiontechnical exception not availableerror descriptionuser not exist period,Technical Exceptions
INC000000981559,deduction claimed chapter not reflecting tax issue high declared provided proofs also total amount not reflected tax  ,Technical Exceptions
INC000000986415,codes access issue issue high access codes taken away need restored needful sapuser tchawla,User Account
INC000000995357,hire incorrect slip correct date issue high hire incorrect slip correct date  ,Technical Exceptions
INC000001003559,dependent not updated urgent issue high ello recently joined back offshore feb ending onsite long term secondment going slip declaration saw missing update medical claim don see son name listed even though added dependent approaching finacnial end appreciate quick response,Missing User Knowledge Issue
INC000001009797,acconuts not updated payroll report issue high hello recently joined back offshore feb ending onsite long term secondment going slip declaration saw missing update slip shows account accounts registered payroll used offshore declaration links disabled enter details need enter details not updated declaration,Missing User Knowledge Issue
INC000001045801,analysis issue medium attempting logon lists error checking availability,Technical Exceptions
INC000001 0412,receiving error accessing issue high error accessing trade,Technical Exceptions
INC000001 1716,unable access issue high   system showed two diems used second used known based contractual guidelines within contracts not see item drop,Interface Error
INC000001081917,cannot access transaction codes issue high transaction code message says access previously access need access,Technical Exceptions
INC000001084863,projection not able download finance trying download pdf download simplifier pdf format sheet shows nothing records recently updated back end know download tax simplifier,Missing User Knowledge Issue
INC000001094390,client details deleteing automatically restart restarting machine lanscape resetted difficult configure daliy login take action jay,User Account
INC000001115171,issue creating deleting record declaration form report issue id portal id facing issue creating deleting modifying record declaration error beginning date later end date proper customization not maintained payment mode v t77www gachr customization date miaintained view v t77www gachr,Transport and Change
INC000001126199,not able login issue medium find attachment details tried clearing browser cache password change also still error,User Account
INC000001138354,links inside not working issue high systems not taking logged not react clicking links not able update investment declaration due,Technical Exceptions
INC000001141506,ticket number still open initiated update received id provide details id learn not provide password required training training starting interest modeling views session registered using generic account gmail yahoo hotmail outlook user note order attend session partner valid user need support user pe channel helpline com pe channel helpline com see links user register not,User Account
INC000001150428,not accessible issue high not accessible network resolve issue earliest,Availability Issue
INC000001183653,need business intelligence password reset issue high need business intelligence password reset needed urgently due quarter end close access impacted,User Account
INC000001186358,connections need create connection related activities,Interface Error
INC000001189581,production users create assigned basis creation business objects users reporting publication platform,Job and/or Batch Related
INC000001211997,connection issue connection issue,Interface Error
INC000001243714,not able login know find promotion revised letters issue high need promotional history within date required checked navigator find archived current letters promotion revision tried logging login got failed login divyasree erilingampalli,User Account
INC000001254445,issue low enter message top page error planned working look attached image details,Technical Exceptions
INC000001255897,not working issue high work talent acquisition trying enter new hiring manager order enter candidate info option seems longer available,Availability Issue
INC000001288804,not able open element issue high informed respective teams charge supporting not able open sales document make modifications assignment resources error open parent document access sales document page given error program kq8rjpnaew9jd7ti3ba2 termination look high need extend resources complete entry 4lh21,Availability Issue
INC000001306 8,cannot see people portions issue low unable view people training midterm reviews auto routed overdue started issues early also intermittent issues approving alternate,Technical Exceptions
INC000001309845,transport expresso configuration issue medium need maintain entries table creation programs transaction put entries table,Transport and Change
INC000001325342,not able login timesheet entry issue high not able login fill timesheets travelled oct tried login oct client location gave name password incorrect error attached screenshot accessed needful know need info kingdom,User Account
INC000001361626,login issue issue high i not able launch link network even providing correct screenshot i able access link client network needful know need phase post,User Account
INC000001365444,password reset used login https ess nttdata emea com issue high username,User Account
INC000001379581,unable access issue high unable access error details tried logged not available overloaded impossible process divyasree erilingampalli,User Account
INC000001380249,unable submit timesheet due unavailable charge code issue low unable submit timesheet selecting select sales support fill rest sheet normal submit error saying erroneous records select valid bill part sales not billable client clue bill select,Missing User Knowledge Issue
INC000001382144,unable approve timesheets entry approval report issue high able access system takes click inbox approve entered message says not open new browser window contract system administrator assistance addition unable enter entered earlier took vacation day need update note not released timesheet drill not launch,Missing User Knowledge Issue
INC000001383043,asking username password entry trying record working asking username password never tried giving portal password not accepting,User Account
INC000001383052,opening form issue high trying enter open form using new user id format error resource not exist tried using different browsers issue,User Account
INC000001385421,submitting manager not seeing not paycheck worked issue high manager not sheets approve released every hourly not paid worked since need figure fix paid since,Missing User Knowledge Issue
INC000001390139,unable submit unable submit error message corporate app accessed department,Interface Error
INC000001392701,error submitting entries facing error submitting entries advice error considered non billable charged home cost center not selected project code 5b1,Missing User Knowledge Issue
INC000001398897,showing error entry screen showig error message personnel number locked error details technical exceptiontechnical exception not available error descriptionyour personnel number locked fix issue ilabs,Availability Issue
INC000001400012,cannot access record working page click record working button error details technical exceptiontechnical exception not available error descriptionyour personnel number locked,Availability Issue
INC000001432899,issue slow,Performance Issue
INC000001438494,able fill able fill error portal roles assigned user,User Account
INC000001438499,tab not opened tab not opened record working eod needful urgent basis,Technical Exceptions
INC000001450504,want know apply internet allowance work client location approval claiming transport allowance rs per internet used submit excel format told steps link apply,Missing User Knowledge Issue
INC000001451317,unable access entry not available error attempting access entry portal server overloaded impossible process,Availability Issue
INC000001454664,access remedy access remedy ticket summary schedule program execute program per mentioned batch job form shared basis separate,Job and/or Batch Related
INC000001455503,screen selecting login project screen selecting never seen screen know user password beyond screen normal screen allowed enter weekly,User Account
INC000001455926,not able submit sheets find screen shot attached guide,Missing User Knowledge Issue
INC000001456183,entry approval issue unable see member entry approving error cannot connect provider connection status sap ess human resource web connected exception occurred members sheet cannot see approval,Interface Error
INC000001456532,not able login record working entry approval tried access record working asking net weaver user password details also not able access options portal page provide access page  ,User Account
INC000001456569,project needs added entry approval assigned work project attempt charge project error not available,Availability Issue
INC000001456851,not assigned worklist attempt record working times receive errors asking manager receive errors informed not assigned worklist section hughes,User Account
INC000001457374,able submit sheet since dec able submit sheet since dec user joined company error erroneous record,Technical Exceptions
INC000001459156,unable change certain fields record see screen shot saverelease directlyrelease view print error cannot charge bench project error erroneous records exist navigation not possible th fr th fr th fr waiting target target not released rejected non day holiday approved current selection completion status incomplete days remark navigate timesheet previous periodnext periodweek worklistwork scheduletemplatefavoritescheckinsert row open settings dialog rec cctr element premium premium billable non name total det det det det det det det plan act row changed changed changed changed rejected instructed change fields record received errors cannot charge bench project error erroneous records exist navigation not possible resolve issue,Missing User Knowledge Issue
INC000001459233,personnel number locked trying enter working keep error personnel number locked error details technical exceptiontechnical exception not available error descriptionyour personnel number locked,Availability Issue
INC000001459824,provide access verma fire fighter role working clear cluster records impacting claims eligibility employee current due error records available quota dates,User Account
INC000001460610,issue dates issue transfer dates due missing transport,Transport and Change
INC00000146 53,batch job scheduled center interface files,Job and/or Batch Related
INC000001462365,  report not ruting next level not available   report exceptions not routing next level approval not available routed grade,Technical Exceptions
INC000001462816,not working not working due job triggered failing look user chirag raised concern pearl,Technical Exceptions
INC000001464567,unable login user unable login user name find attachment details phase post,User Account
INC000001464590,user unable upload sheet assist user user trying upload sheet error erroneous records exist navigation not possible error not available verify recording saved divyasree erilingampalli  ,Technical Exceptions
INC000001464612,unable access self expence unable access self expence options not replicating self servce unable access temporary apps also,Availability Issue
INC000001466040,leave balance not reflecting updated balance provide history balances know questions,Interface Error
INC000001466090,net weaver raised user user account not configured remedy login click error level id,User Account
INC000001467672,leave not know enter second leave absence extension,Missing User Knowledge Issue
INC000001468534,batch two reports,Job and/or Batch Related
INC000001469236,error user fixing discussed call trying create new lines renewal initiation even ever add new line pricing details save document error not sure what issue,Technical Exceptions
INC000001469701, s current approver way find current approver unapproved  s via reporting anything else made available via feeds used extensively need similar base approver current escalation approver available  s well enable tracking follow especially  s expected invoice,User Account
INC000001469864,accruals double counted report report uses details zfigc m01 q0001 query revenue accruals double counted resulting revenue shortfall measure not measure seen attached spreadsheet working see timestamps postings point ever revenue balance account yet showed point correct reflected figure difference penny comes double counting accruals interesting thing measures question perspective caused different,Missing User Knowledge Issue
INC000001471225,coming company code name available company code table instead table back end change needs created,Job and/or Batch Related
INC000001471275,add customer project filters applicable reports reports especially self ones customers project wbs filter results users pull entire profit center even view single customer ends taking lot therefore causing users not reports much makes users inefficient would good full review inputs reports done relevant filters added make retrieval easier faster,Job and/or Batch Related
INC000001471855,sheet issue not able find wbs element find attatched reference,Interface Error
INC000001473359,including fields not available end user provide report contains available role assignments attached report need produced roles not available end user reporting add not field available report,Job and/or Batch Related
INC000001473651,create variable would need variable automate fiscal period query process way user enters fiscal current fiscal period current previuos fiscal period fiscal perids current fiscal period current user enters actual fiscal period query process based selection inputs,Job and/or Batch Related
INC000001474032,per shared format facing issue running limit exceeding per shared format,Job and/or Batch Related
INC000001474473,login screen new login screen asking client digit user name password click enter  s never gotten boss know either cannot past enter need defaults kept entered password gives error boxes,User Account
INC000001475142,see error resolve soon possible raised closed asking reassign earlier creating new divyasree erilingampalli,User Account
INC000001475541,not able report need report reports revenue audit timeout error two code dat gives error   price rep,Performance Issue
INC000001476025,unable create medical bills unable submit medical bills click create button receiving login error find attachment needful divyasree erilingampalli  ,Technical Exceptions
INC000001476510,report performance issues unable run report required fields analysis,Performance Issue
INC000001476723,not receive ew electronic available secure web see attach,Availability Issue
INC000001476743,posting job run user posting job run user,Job and/or Batch Related
INC000001476769,ability reporting interest closely match envision need button include exclude rebillable  s reporting accounting users need see whereas management reporting needs excluded,Interface Error
INC000001477843,unable raise unable raise webpage not responding suggest,Technical Exceptions
INC000001478056,pending care tickets dumps found look division current program terminated come across statement unfortunately cannot executed job failed look failed job   cannot interpreted number jobs failed look internal session terminated runtime error see exception raised not caught anywhere along call hierarchy since exceptions represent error situations error not adequately responded program terminated,Job and/or Batch Related
INC000001478131,currency not available dropdown creating  s consultants travelled needs submit  s canadian consultant creating  s not populate seems issue canadian users see attached screenshot divyasree erilingampalli,Interface Error
INC000001478300,user bal receiving signed user bal receiving signed trying add line items separate net value new billing method marked line reject saving changing guided configuration tab used error tried times error saving line new billing method internal server errorerror screen output connection user termination fixing urgency became bottleneck activities,Technical Exceptions
INC000001478608,attachment issue s ahr s ahr not able download uploaded issue faced effecting regualr business prioritize issue,Interface Error
INC000001478667,unable submit timesheets unable submit timesheets click self net weaver login page coming auto populated fields system client though enter user portal id password correctly checked also synch password still error find attached screenshot portal id resolve earliest fill timesheets,User Account
INC000001479704,error message approving  s error message every open   report approve end session closed timeout termination,Performance Issue
INC000001481318,timesheet login trying enter new log enter timesheet click self timesheet login idea way days also ticket asking location idea enter entering closest,Availability Issue
INC000001483353,ticket performance issues facing latency performance issues code,Performance Issue
INC000001483363,ticket replicate contract changes contract header enable header invoices contracts current process contracts replicate changes contracts,Transport and Change
INC000001483424,missing missing code   code not listed enter worked received notice removed code assist users affected,Interface Error
INC000001483594,unable submit timesheet unable submit timesheet prompting error message released changed needful,Interface Error
INC000001483663,technical exception not available personnel number locked,Availability Issue
INC000001483670,technical exception not available personnel number locked,Availability Issue
INC000001483757,code needs stop termination code needs stop terminated stops stopped terminates set retro across number days worked period,Performance Issue
INC000001483920,user error message user error message assist user issue find attached user portal id number,Technical Exceptions
INC000001483959,changes changes,Transport and Change
INC000001484526,balance missing end days left carry screen capture leave management screen prove know paid days carried per agreement look balances see explain,Missing User Knowledge Issue
INC000001485003,available reports s alr 87012050 regular requirement asset reports deletions field make life easy bring field reports,Job and/or Batch Related
INC000001485119,unable submit sheet error bad unable submit sheet error bad click self tab tried reset browser luck work issue find user details number,Technical Exceptions
INC000001486446,unable report not able report certain performance issues report provided certain formatting issues incompleteness resolve issue soon possible,Performance Issue
INC000001486599,orders trying select orders ci initiator receiving error locked closed browsers restarted computer not know remediate issue know unlock  ,Missing User Knowledge Issue
INC000001487183,not went manager approval approved not went manager approval approved user portal id,Interface Error
INC000001487320,access access blank page,Interface Error
INC000001487841,roles required users system roles users system zsap solman read 702 zsap solman tmw 702 basis,User Account
INC000001488433,provide access ddic system dialog user provide access ddic system dialog user aloso unlock user maintain password system,User Account
INC000001488796,timesheet entry issue issue entering know resolve issue eam issu not available vrify recording wbs,Missing User Knowledge Issue
INC000001490224,error click raised user account configured remedy user portal id error click,Technical Exceptions
INC000001491968,unable access created user unable find details portal unable access error find attached reference users,Technical Exceptions
INC000001495783,modify timesheet access advice received attached invoice sub contractor period hour facing hour issue per record received hour approval system period find attached timesheet reference ask consultant still left enter remaining else send revised invoice hour period,Missing User Knowledge Issue
INC000001496312,issue related created per guided configuration three dmr needs generated system system created refer screenshot three dmr correct correct date marked assigned system not open status facing issue raising invoice refer screenshot another dmr created system open status incorrect not system refer screenshot second facing issue client deloitte set look,Interface Error
INC000001496508,unable upload travel   navigator unable upload travel   navigator user error billable  s not charged cost center find user details error screen shot portal id full name venkatesh id division serivces divyasree erilingampalli,Interface Error
INC000001496635,user not statement payroll navigator user not statement option payroll navigator,Interface Error
INC000001497989,system says find user ether company number trying log order enter approved system keeps throwing message find user company user returning user used access page problems,User Account
INC000001498576,assit issue user taken long leave starting father expired manager communicated admins mark days leave quota know specific day discrepancy user,Missing User Knowledge Issue
INC000001499471,not appear selections paid creating new   report   charged corporate card system select instructions seem indicate list items charged credit card would select would paid directly not sure need credit card charges pulled,Availability Issue
INC000001499524,unable enter day unable enter day vacation showing holiday sheet still manager nonfiction need enter day screen short,Interface Error
INC000001499567,told project manager unable approve sheet told project manager unable approve sheet not notification approve see pending approval sheet users sheet also not going manager approval user,Interface Error
INC000001500043,approval new role approve creation role ids given users audit role access eligibility run audit reports able role also running audit reports,User Account
INC000001500240,still not showing option pasting row turns orange color can proceed proceed attached pleased inform assigned element details customer name number project project element date finish date informed project member questions project manager mail sincerely set,Missing User Knowledge Issue
INC000001501324,allow posting taking trading partner allow posting taking trading partner seems something wrong stop post taking,Performance Issue
INC00000150 ,unable access unable access netweaver page user unable login browser still not able access screen short user,User Account
INC000001501834,not able access   not able log file   report tried using portal well user neither work looked training guides seem show log apologize simple issue forgetting different user,User Account
INC000001501863,details query fiscal date prompt addition non leading ledger caused duplicate dates prompt details query need clone details query implement changes separate query new query folder,Transport and Change
INC000001501910,unable sign unable sign need know proper format username password,User Account
INC000001502879,unable login fill sheet reset password not able login account reset password know id,User Account
INC000001503213,unable submit medical bills submitting medical bills error estimated value not greater needful user 6b1004,Technical Exceptions
INC000001503505,user leave not reflecting user leave not reflecting,Interface Error
INC000001503596,user trying access self prompting error message user trying access self prompting error message asking net weaver username password 5b1,Interface Error
INC000001503780,asking asking not take current values,User Account
INC000001505083,not able submit timesheet submitting timesheet error erroneous records exist navigation not possible error not available verify recording,Technical Exceptions
INC000001508462,z sdps d cj8g all job cancelled z sdps d cj8g all job cancelled job started step started program rko7cj8g variant user settlement locked job cancelled system exception,Job and/or Batch Related
INC000001508723,cancelled jobs system cancelled jobs system canceled canceled,Job and/or Batch Related
INC000001509095,user trying access self prompting error user trying access self prompting error asking net weaver username password needful divyasree erilingampalli,Interface Error
INC000001511555,self tab asking credentials know credentials provided attachment previously never screen divyasree erilingampalli,User Account
INC000001511827,unable submit timesheet unable submit timesheet enter credentials phase post,Technical Exceptions
INC000001512757,clicking record working page launches error personnel number locked not available error personnel number locked,Availability Issue
INC000001515204,not able enter timesheets associate travelled onsite not able enter also not able enter back end resource name resource date removed used divyasree erilingampalli,Availability Issue
INC000001516862,unable see  s coming approval dont approval queue happened past well trip   report created review system trip   report routed due inactivity previous approver take necessary action note exceptions require additional approvals number name eco world bangalore reason traveling client location,Interface Error
INC000001517515,vendor master change report also changes details,Transport and Change
INC000001517788,field reports not populated correctly method field not populated certain set elements also displays quote contract vs order values confuses user need consider latest populate value,Interface Error
INC000001518391,enter attempt error issue began backup fix not responding next likely causes not connected server not responding server temporary not available reconnect server retype visiting another website make sure connected problem caused variety issues including connectivity lost website temporarily unavailable not reachable not listing website domain secure click tools click click advanced sure protocols enabled security section 9362x211,Availability Issue
INC000001518825,number changes number changes,Transport and Change
INC000001519065,unable access fill unable access fill cleared browsing history temporary files still issue present screen shot user,Interface Error
INC000001520119,not abel access tabs sheet not abel access self servic tab portal look issue assist user,Interface Error
INC000001520126,not able fill not able fill timesheet error error details technical exceptiontechnical exception not available error descriptionyour personnel number locked clicking working,Availability Issue
INC000001520558,unable find personal number submit   entry unable find personal number submit   entry,Availability Issue
INC000001521371,unable create timesheet logged prompted enter user er unable create timesheet logged prompted enter user errors,User Account
INC000001521450,unable access fill sheet unable access fill sheet page unable fill browser reset still issue present screen short user,Interface Error
INC000001521497,unable access fill sheet unable access fill sheet netweaver page unable access user screen short,Interface Error
INC000001522784,access   page access   page laptop ipad iphone cleared browsing history browser reset done still shows error attached suggest,Interface Error
INC000001524434,issue system inbox something pending unable act bit urgent issue system inbox something pending action timesheet tried click hyperlink popup window shows blank tried combination combo box popup window selecting nothing coming pending end continues showing blank quickly guide urgent need,Interface Error
INC000001525 3,unable enter timesheet click tab screen says system client asks user name password fill portal id password logon fails unable proceed fill timesheet,User Account
INC000001525610,dependent details not available portal claim medical   trying claim medical   portal not showing dependent details attachment 6b1,Interface Error
INC000001525638,enter personnel number locked entering got kicked error not available browser crashed logged back unable navigate record working error message error detailstechnical exceptiontechnical exception not available error descriptionyour personnel number locked,Availability Issue
INC000001526036,card project not shown printed contractor need send weekly copy timecard company calendar shows approved green card shows regular project print attempt print timesheet shown print project not shown need able show employer billed unable prove since project not showing see attachment project name code,Interface Error
INC000001526838,access dap pll triad rr com message status code transactionid   4cb9 connection server terminated details reported errors,Interface Error
INC000001527579,unable submit   unable submit   user error another session opened user,Interface Error
INC000001527705,look issue nttdata com not option zfrb line item also updated profile,Missing User Knowledge Issue
INC000001529 7,workflow not generating not able generate workflow even making changes documents trade,Missing User Knowledge Issue
INC000001529112,attached error message since navigating screens error message since navigating screens look not able book approve project related tasks message corporate app accessed continue error department code transactionid 8e9db948   adce  connection server terminated details reported errors,Availability Issue
INC000001529313,corporate app accessed error accessing portal corporate app accessed continue error department look cache clear also not working,Availability Issue
INC000001529318,unable view attached documents work flow unable view attached documents inbox work flow showing zero find attached document error needful,Interface Error
INC000001530208,bit urgent issue system screenshot something pending action timesheet tried click hyperlink popup window shows blank tried combination combo box popup window selecting nothing coming pending end continues showing blank quickly guide act transfer ticker technical,Interface Error
INC000001530952,errors accessing system feb resolver thread errors accessing system feb resolver thread,Performance Issue
INC000001531440,longer able create   report create new   report select hit error message pers blocked user portal number know blocking   report creation shut browser cleared cookies cache make difference  ,Interface Error
INC000001533203,webpage issue unable edit quote guided configuration lines also not able update project start end date greyed urgently screen shots,Interface Error
INC000001533762,unable login entry portal username unable login entry portal username,User Account
INC000001535799,unable login unable login find attached error screenshot assist user details,User Account
INC000001536584,entry missing not listing user needs corrected approval payroll impact,Interface Error
INC000001536722,unable log reset password seems synced new password except unable log error message password user name incorrect past password synced applications,User Account
INC000001536914,entries not reflecting fix entries issues issue sept move entries controlling system pick correct hrs billing issue dec hrs reflecting invoice instead per entries available system resolve issue,Interface Error
INC000001536925,batch jobs failed system batch job failed system canceled canceled,Job and/or Batch Related
INC000001536958,unable view self window navigator assists user login details user mention sometimes url find required entry fields termination checked different browsers well v13,User Account
INC000001537464,unable approve timesheet cannot approve timesheet user see message inbox user click link prompted error message approve reject,Interface Error
INC000001537727,number changes ver update mapping,Transport and Change
INC000001539292,not able update cost assignment raised updated cost cost center got cancelled reason updated charged account support milestone budget not cost center tried updating postings made profit center company code   suggest proceed find attached screenshot number,Missing User Knowledge Issue
INC000001539404,not appearing front end also not working refer attached screenshot user unable access front end,Interface Error
INC000001539509,unable applicaiton unable applicaiton error message name password incorrect previously user access changed user unable access logon connecting user number work remotely,User Account
INC0000015397 ,timesheet trying timesheet enter submit click keep box netweaver top fields system prefilled client prefilled blank blank language english prefilled button says blank box tried enter digit user id field entering password keeps saying password wrong need able enter hoping,User Account
INC000001540064,report entry approval explain alternate holiday process find attached mail reference,Missing User Knowledge Issue
INC000001540121,not able login portal user wants resubmit bills not able login,User Account
INC000001540672,number changes number changes,Transport and Change
INC000001541690,problem cost center selection   creation issue creating   report not able see element project cost center select practice cost center available unfortunately need travelling travel raise  s needful,Interface Error
INC000001541923,question problem raising   facing problem raising   recent change introducing project altered process raising   since done went still facing problem see attachment details  ,Technical Exceptions
INC000001543940,personnel number locked keep error trying enter sheet personnel number locked not available descriptionyour personnel number locked clicking display providing personnel number locked xss cat rfc012 needful enter sheet earliest,Availability Issue
INC000001548760,job run center interface schedule adhoc batch job center interface attached batch jobs,Job and/or Batch Related
INC000001548824,facing issue extracting report facing issue extracting report using zhr cats billing not pulling trade,Technical Exceptions
INC000001549283,error multiple days not available error multiple days not available server overloaded impossible process see attached picture end reporting revenue requires approvals,Availability Issue
INC000001549896,user unable access entry raising user not able login enter feb response not available system need work see replication status open remedy ticket,User Account
INC000001550057,job failed mar job failed mar job log   cannot interpreted number,Job and/or Batch Related
INC000001550062,allignment evidence issues ticket created found issues form select option pc00 m40 f16 facing issues saving save way taking print able print options not available display related evidence details lookinto neeedful,Availability Issue
INC000001558365,change attached details change attached details,Job and/or Batch Related
INC000001561736,job failed job log job might due file not available processing weekend investigate take necessary action job started step started program variant user file interfaces txt not opened job cancelled system exception,Job and/or Batch Related
INC000001562009,client entry instructions error filling timesheet needful client entry instructions unable fill timesheet mentioned error element not exists needful client entry instructions deepika assigned project since project part sharing need follow process enter  s required entered entry system send timesheet   report end project manager project approval project prakyath bagepalli project us aqha appsmod   forward approved finance  s approved home finance system nttdata com nttdata com questions reach listed http americas nttdata com timesheet needs closure feb end closure know code fill timesheet timesheet needs closure feb end closure code needs provided finance resource enter accordingly would creating based cross transfer details provided believe working malhotra nttdata com malhotra nttdata com timesheet needs closure feb end closure timesheet needs closure feb end closure know element needs filled feb timesheet needs closure feb end closure note date sheet entry feb feb months closure continue notice sheets missing submit sheets sheets prevent backlog sheets need assistance work project manager assistance appreciate quick action closure sheets accordingly bench missing important dates sheet feb needs submitted feb approvals completed sheet dates submitted submitted not not not,Missing User Knowledge Issue
